row_id,default_flag,pd_score,pd_score_band,ead,lgd,ifrs9_stage,ecl,loan_amnt,installment,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,revol_util,total_acc
0,0,0.4466899557963075,Medium,3600.0,0.35,Stage 2,562.8293443033474,3600.0,123.03,36 months,13.99,C,C4,10+ years,MORTGAGE,55000.0,Not Verified,debt_consolidation,5.91,0.0,29.7,13.0
1,0,0.5727570456435341,High,24700.0,0.35,Stage 3,4951.484659588353,24700.0,820.28,36 months,11.99,C,C1,10+ years,MORTGAGE,65000.0,Not Verified,small_business,16.06,1.0,19.2,38.0
2,0,0.2594969790479719,Very Low,20000.0,0.35,Stage 2,1816.4788533358035,20000.0,432.66,60 months,10.78,B,B4,10+ years,MORTGAGE,63000.0,Not Verified,home_improvement,10.78,0.0,56.2,18.0
3,0,0.4531059256286945,Medium,35000.0,0.35,Stage 2,5550.547588951507,35000.0,829.9,60 months,14.85,C,C5,10+ years,MORTGAGE,110000.0,Source Verified,debt_consolidation,17.06,0.0,11.6,17.0
4,0,0.6913910716211193,Very High,10400.0,0.35,Stage 3,2516.663500700874,10400.0,289.91,60 months,22.45,F,F1,3 years,MORTGAGE,104433.0,Source Verified,major_purchase,25.37,1.0,64.5,35.0
5,0,0.5141468821730008,High,11950.0,0.5,Stage 3,3072.0276209836793,11950.0,405.18,36 months,13.44,C,C3,4 years,RENT,34000.0,Source Verified,debt_consolidation,10.2,0.0,68.4,6.0
6,0,0.2376302140938149,Very Low,20000.0,0.35,Stage 2,1663.4114986567042,20000.0,637.58,36 months,9.17,B,B2,10+ years,MORTGAGE,180000.0,Not Verified,debt_consolidation,14.67,0.0,84.5,27.0
7,0,0.3266488713960118,Low,20000.0,0.35,Stage 2,2286.542099772082,20000.0,631.26,36 months,8.49,B,B1,10+ years,MORTGAGE,85000.0,Not Verified,major_purchase,17.61,1.0,5.7,15.0
8,0,0.2224497347398703,Very Low,10000.0,0.5,Stage 2,1112.2486736993515,10000.0,306.45,36 months,6.49,A,A2,6 years,RENT,85000.0,Not Verified,credit_card,13.07,0.0,34.5,23.0
9,0,0.4112397293786258,Low,8000.0,0.35,Stage 2,1151.4712422601522,8000.0,263.74,36 months,11.48,B,B5,10+ years,MORTGAGE,42000.0,Not Verified,credit_card,34.8,0.0,39.1,18.0
10,0,0.4095827098619795,Low,22400.0,0.35,Stage 2,3211.1284453179187,22400.0,508.3,60 months,12.88,C,C2,6 years,MORTGAGE,95000.0,Not Verified,debt_consolidation,22.98,0.0,32.7,35.0
11,0,0.4124827284170753,Low,16000.0,0.35,Stage 2,2309.9032791356217,16000.0,363.07,60 months,12.88,C,C2,1 year,MORTGAGE,70000.0,Not Verified,debt_consolidation,26.4,0.0,56.3,29.0
12,0,0.3245050462870849,Low,1400.0,0.35,Stage 2,159.00747268067158,1400.0,47.1,36 months,12.88,C,C2,3 years,MORTGAGE,64000.0,Not Verified,other,34.95,0.0,67.2,24.0
13,1,0.7114967593312606,Very High,18000.0,0.5,Stage 3,6403.470833981345,18000.0,471.7,60 months,19.48,E,E2,7 years,RENT,150000.0,Not Verified,debt_consolidation,9.39,0.0,40.7,27.0
14,0,0.1565510664042482,Very Low,28000.0,0.35,Stage 1,1534.2004507616323,28000.0,858.05,36 months,6.49,A,A2,10+ years,MORTGAGE,92000.0,Not Verified,debt_consolidation,21.6,0.0,64.5,24.0
15,0,0.1986711916311302,Very Low,9600.0,0.35,Stage 1,667.5352038805975,9600.0,298.58,36 months,7.49,A,A4,8 years,MORTGAGE,60000.0,Not Verified,credit_card,22.44,0.0,59.4,9.0
16,0,0.206929545338977,Very Low,25000.0,0.35,Stage 2,1810.6335217160486,25000.0,777.55,36 months,7.49,A,A4,10+ years,MORTGAGE,109000.0,Not Verified,debt_consolidation,26.02,0.0,54.3,19.0
17,0,0.2961530634677056,Low,18000.0,0.35,Stage 2,1865.764299846545,18000.0,400.31,60 months,11.99,C,C1,10+ years,MORTGAGE,112000.0,Not Verified,debt_consolidation,8.68,0.0,15.5,27.0
18,0,0.3618042833837823,Low,23000.0,0.5,Stage 2,4160.749258913496,23000.0,471.77,60 months,8.49,B,B1,5 years,RENT,64000.0,Not Verified,credit_card,18.28,0.0,52.7,33.0
19,0,0.8008320601550839,Very High,8650.0,0.5,Stage 3,3463.5986601707377,8650.0,320.99,36 months,19.89,E,E3,8 years,RENT,55000.0,Verified,debt_consolidation,25.49,0.0,46.0,19.0
20,0,0.4591558843164079,Medium,29900.0,0.35,Stage 2,4805.066329371209,29900.0,678.49,60 months,12.88,C,C2,10+ years,MORTGAGE,65000.0,Verified,debt_consolidation,21.77,0.0,46.7,31.0
21,0,0.6023740211806929,High,16000.0,0.35,Stage 3,3373.29451861188,16000.0,379.39,60 months,14.85,C,C5,10+ years,MORTGAGE,48000.0,Not Verified,credit_card,33.18,0.0,29.6,19.0
22,0,0.4893758193932854,Medium,28000.0,0.4,Stage 2,5481.009177204796,28000.0,949.38,36 months,13.44,C,C3,2 years,OWN,125000.0,Source Verified,debt_consolidation,7.49,0.0,63.1,22.0
23,0,0.4837725879494655,Medium,5000.0,0.5,Stage 2,1209.4314698736637,5000.0,169.54,36 months,13.44,C,C3,2 years,RENT,79000.0,Verified,credit_card,12.7,0.0,101.5,5.0
24,0,0.2032100568429412,Very Low,6000.0,0.35,Stage 2,426.7411193701764,6000.0,186.61,36 months,7.49,A,A4,10+ years,MORTGAGE,100000.0,Not Verified,debt_consolidation,13.28,1.0,72.0,16.0
25,1,0.522839935664834,High,4225.0,0.5,Stage 3,1104.4993640919618,4225.0,146.16,36 months,14.85,C,C5,5 years,RENT,35000.0,Source Verified,debt_consolidation,15.22,2.0,24.6,6.0
26,0,0.101466460912421,Very Low,20000.0,0.4,Stage 1,811.731687299368,20000.0,602.3,36 months,5.32,A,A1,9 years,OWN,65000.0,Not Verified,debt_consolidation,18.83,0.0,3.0,17.0
27,0,0.6547611256436245,Very High,16000.0,0.35,Stage 3,3666.6623036042974,16000.0,406.04,60 months,17.97,D,D4,< 1 year,MORTGAGE,109000.0,Source Verified,debt_consolidation,23.35,0.0,87.6,33.0
28,0,0.0911174956809119,Very Low,17600.0,0.35,Stage 1,561.2837733944173,17600.0,530.03,36 months,5.32,A,A1,< 1 year,MORTGAGE,88000.0,Source Verified,credit_card,26.59,0.0,34.4,42.0
